"rt" "correct" "key" "target" "valid" "participant"
"1" 626.642 1 "e" "E" 1 0
"2" 1038.63 0 "e" "F" 0 0
"3" 955.59 0 "e" "F" 0 0
"4" 700.037 1 "e" "E" 1 0
"5" 558.138 1 "f" "F" 1 0
"6" 650.609 1 "f" "F" 1 0
"7" 552.76 1 "e" "E" 1 0
"8" 435.859 1 "e" "E" 0 0
"9" 1072.955 1 "e" "E" 0 0
"10" 773.328 1 "e" "E" 0 0
"11" 685.196 1 "e" "E" 0 0
"12" 905.265 1 "e" "E" 1 0
"13" 1007.092 1 "f" "F" 0 0
"14" 843.858 0 "e" "F" 0 0
"15" 578.818 1 "f" "F" 1 0
"16" 642.445 1 "f" "F" 1 0
"17" 632.919 1 "e" "E" 1 0
"18" 706.043 0 "f" "E" 1 0
"19" 913.966 1 "f" "F" 0 0
"20" 625.497 1 "e" "E" 0 0
"21" 853.776 1 "e" "E" 0 0
"22" 594.053 1 "f" "F" 1 0
"23" 613.987 1 "e" "E" 1 0
"24" 496.429 1 "e" "E" 0 0
"25" 596.482 1 "f" "F" 1 0
"26" 666.729 1 "f" "F" 0 0
"27" 594.319 1 "f" "F" 0 0
"28" 674.273 1 "f" "F" 0 0
"29" 914.395 1 "f" "F" 1 0
"30" 691.753 1 "f" "F" 1 0
"31" 724.112 1 "e" "E" 0 0
"32" 883.013 1 "e" "E" 1 0
"33" 772.546 1 "f" "F" 0 0
"34" 634.963 1 "f" "F" 0 0
"35" 676.637 1 "e" "E" 1 0
"36" 517.087 1 "f" "F" 1 0
"37" 767.308 1 "e" "E" 0 0
"38" 713.467 1 "e" "E" 0 0
"39" 635.411 1 "f" "F" 1 0
"40" 706.208 1 "f" "F" 1 0
"41" 733.896 1 "e" "E" 1 0
"42" 822.622 1 "e" "E" 0 0
"43" 685.284 1 "f" "F" 1 0
"44" 639.496 1 "f" "F" 0 0
"45" 727.66 1 "e" "E" 0 0
"46" 602.968 1 "e" "E" 1 0
"47" 567.488 1 "e" "E" 1 0
"48" 769.866 1 "f" "F" 0 0
"49" 821.396 0 "f" "E" 0 1
"50" 578.431 1 "e" "E" 0 1
"51" 658.183 1 "e" "E" 1 1
"52" 650.568 1 "f" "F" 1 1
"53" 601.296 1 "f" "F" 0 1
"54" 664.372 1 "f" "F" 0 1
"55" 996.101 0 "f" "E" 1 1
"56" 670.377 1 "f" "F" 0 1
"57" 633.066 1 "e" "E" 0 1
"58" 524.724 1 "f" "F" 1 1
"59" 844.031 0 "e" "F" 1 1
"60" 764.309 1 "e" "E" 1 1
"61" 464.597 1 "f" "F" 1 1
"62" 566.727 1 "e" "E" 1 1
"63" 649.714 1 "f" "F" 0 1
"64" 736.253 1 "e" "E" 0 1
"65" 698.481 1 "f" "F" 0 1
"66" 640.201 1 "f" "F" 1 1
"67" 603.749 1 "e" "E" 1 1
"68" 555.466 0 "f" "E" 0 1
"69" 585.402 1 "f" "F" 1 1
"70" 493.753 1 "e" "E" 1 1
"71" 680.722 1 "f" "F" 0 1
"72" 515.16 1 "f" "F" 0 1
"73" 712.154 1 "e" "E" 0 1
"74" 528.901 1 "f" "F" 0 1
"75" 841.956 1 "e" "E" 0 1
"76" 665.863 0 "f" "E" 1 1
"77" 732.067 1 "e" "E" 0 1
"78" 592.579 1 "e" "E" 1 1
"79" 673.822 1 "f" "F" 1 1
"80" 638.744 1 "f" "F" 1 1
"81" 597.923 1 "f" "F" 1 1
"82" 478.112 1 "f" "F" 1 1
"83" 404.073 1 "e" "E" 0 1
"84" 574.57 1 "f" "F" 1 1
"85" 467.119 1 "e" "E" 1 1
"86" 545.511 1 "e" "E" 0 1
"87" 482.788 1 "e" "E" 1 1
"88" 524.153 1 "f" "F" 0 1
"89" 602.596 1 "e" "E" 0 1
"90" 538.736 1 "e" "E" 1 1
"91" 488.905 1 "f" "F" 0 1
"92" 648.411 1 "e" "E" 0 1
"93" 540.286 1 "e" "E" 1 1
"94" 779.04 1 "f" "F" 0 1
"95" 633.801 1 "f" "F" 0 1
"96" 525.23 1 "f" "F" 1 1
"97" 583.8 1 "f" "F" 1 1
"98" 482.476 1 "e" "E" 1 1
"99" 501.896 1 "f" "F" 1 1
"100" 543.916 0 "f" "E" 1 1
"101" 590.392 1 "e" "E" 1 1
"102" 622.417 1 "e" "E" 0 1
"103" 686.289 1 "e" "E" 0 1
"104" 694.825 1 "e" "E" 0 1
"105" 617.305 1 "f" "F" 0 1
"106" 554.018 1 "e" "E" 1 1
"107" 617.714 0 "e" "F" 1 1
"108" 720.031 1 "f" "F" 0 1
"109" 467.166 1 "f" "F" 1 1
"110" 540.242 1 "f" "F" 0 1
"111" 741.58 1 "e" "E" 0 1
"112" 636.697 1 "f" "F" 0 1
"113" 652.123 1 "e" "E" 1 1
"114" 560.688 1 "e" "E" 1 1
"115" 521.933 1 "e" "E" 0 1
"116" 774.088 1 "f" "F" 0 1
"117" 591.382 1 "e" "E" 0 1
"118" 555.637 1 "f" "F" 1 1
"119" 529.068 1 "f" "F" 1 1
"120" 620.332 1 "e" "E" 1 1
"121" 607.024 1 "f" "F" 1 1
"122" 602.52 1 "f" "F" 1 1
"123" 680.867 1 "e" "E" 0 1
"124" 545.201 1 "f" "F" 0 1
"125" 647.882 1 "e" "E" 1 1
"126" 592.327 1 "f" "F" 0 1
"127" 557.216 1 "f" "F" 0 1
"128" 790.163 1 "e" "E" 0 1
"129" 622.86 1 "e" "E" 0 1
"130" 602.517 1 "e" "E" 1 1
"131" 530.474 1 "f" "F" 1 1
"132" 639.159 1 "f" "F" 0 1
"133" 539.684 1 "f" "F" 1 1
"134" 604.547 1 "f" "F" 0 1
"135" 708.14 1 "e" "E" 0 1
"136" 835.529 1 "e" "E" 0 1
"137" 633.325 1 "e" "E" 1 1
"138" 733.025 1 "e" "E" 1 1
"139" 526.8 1 "e" "E" 1 1
"140" 570.086 1 "f" "F" 1 1
"141" 639.441 1 "f" "F" 0 1
"142" 834.282 1 "f" "F" 0 1
"143" 635.476 1 "e" "E" 0 1
"144" 665.324 1 "f" "F" 1 1
"145" 602.52 1 "e" "E" 1 1
"146" 686.123 1 "e" "E" 0 1
"147" 600.53 1 "f" "F" 1 1
"148" 560.414 1 "f" "F" 0 1
"149" 654.609 1 "e" "E" 0 1
"150" 646.485 1 "e" "E" 1 1
"151" 522.85 1 "f" "F" 1 1
"152" 665.935 1 "e" "E" 0 1
"153" 651.338 1 "e" "E" 1 1
"154" 729.329 1 "f" "F" 0 1
"155" 640.109 1 "f" "F" 0 1
"156" 743.68 1 "e" "E" 0 1
"157" 601.574 1 "f" "F" 0 1
"158" 622.981 1 "f" "F" 1 1
"159" 524.542 1 "e" "E" 1 1
"160" 732.71 1 "f" "F" 1 1
"161" 420.725 1 "f" "F" 1 1
"162" 726.933 1 "f" "F" 1 1
"163" 777.074 1 "e" "E" 0 1
"164" 748.428 1 "f" "F" 0 1
"165" 747.123 1 "e" "E" 0 1
"166" 803.867 1 "e" "E" 0 1
"167" 700.141 1 "f" "F" 1 1
"168" 859.296 1 "e" "E" 1 1
"169" 759.032 1 "e" "E" 0 1
"170" 511.148 1 "f" "F" 0 1
"171" 605.684 1 "f" "F" 0 1
"172" 648.796 1 "f" "F" 1 1
"173" 644.088 1 "f" "F" 0 1
"174" 608.046 1 "e" "E" 1 1
"175" 662.72 1 "e" "E" 1 1
"176" 663.777 1 "e" "E" 1 1
"177" 665.935 1 "e" "E" 0 1
"178" 604.75 1 "e" "E" 1 1
"179" 495.847 1 "f" "F" 1 1
"180" 576.768 1 "e" "E" 0 1
"181" 545.276 1 "f" "F" 1 1
"182" 662.813 1 "e" "E" 0 1
"183" 554.384 1 "f" "F" 1 1
"184" 602.95 1 "f" "F" 0 1
"185" 724.844 1 "e" "E" 1 1
"186" 688.01 1 "f" "F" 1 1
"187" 638.298 1 "e" "E" 0 1
"188" 544.572 1 "f" "F" 0 1
"189" 592.399 1 "f" "F" 0 1
"190" 650.795 1 "e" "E" 1 1
"191" 665.233 1 "f" "F" 0 1
"192" 667.226 1 "e" "E" 1 1
"193" 665.77 1 "f" "F" 0 1
"194" 752.882 1 "e" "E" 0 1
"195" 868.305 1 "e" "E" 1 1
"196" 631.68 1 "f" "F" 0 1
"197" 670.945 1 "f" "F" 1 1
"198" 607.192 1 "f" "F" 0 1
"199" 666.433 1 "e" "E" 0 1
"200" 1054.879 0 "f" "E" 0 1
"201" 651.728 1 "e" "E" 1 1
"202" 576.516 1 "e" "E" 1 1
"203" 499.238 1 "e" "E" 1 1
"204" 701.375 1 "e" "E" 0 1
"205" 544.648 1 "f" "F" 1 1
"206" 523.372 1 "f" "F" 1 1
"207" 601.174 1 "f" "F" 0 1
"208" 512.97 1 "f" "F" 1 1
"209" 505.355 1 "f" "F" 0 2
"210" 533.502 1 "e" "E" 1 2
"211" 476.871 1 "e" "E" 0 2
"212" 379.857 0 "e" "F" 1 2
"213" 680.504 1 "e" "E" 0 2
"214" 424.36 0 "f" "E" 0 2
"215" 514.644 1 "e" "E" 1 2
"216" 516.737 1 "f" "F" 0 2
"217" 448.912 1 "e" "E" 1 2
"218" 476.47 1 "e" "E" 1 2
"219" 634.049 1 "f" "F" 1 2
"220" 593.462 1 "f" "F" 1 2
"221" 501.245 1 "f" "F" 0 2
"222" 456.723 1 "f" "F" 1 2
"223" 652.458 1 "f" "F" 0 2
"224" 624.262 1 "e" "E" 0 2
"225" 624.098 1 "f" "F" 0 2
"226" 420.143 1 "f" "F" 0 2
"227" 446.063 0 "f" "E" 1 2
"228" 692.419 1 "e" "E" 1 2
"229" 523.989 1 "e" "E" 1 2
"230" 519.005 1 "f" "F" 1 2
"231" 655.449 1 "e" "E" 0 2
"232" 528.149 1 "f" "F" 0 2
"233" 626.437 1 "e" "E" 0 2
"234" 536.282 1 "e" "E" 0 2
"235" 667.568 1 "f" "F" 1 2
"236" 475.085 1 "e" "E" 0 2
"237" 419.876 1 "f" "F" 1 2
"238" 722.531 1 "f" "F" 0 2
"239" 636.456 1 "f" "F" 1 2
"240" 538.249 1 "e" "E" 1 2
"241" 612.729 1 "e" "E" 0 2
"242" 611.673 1 "f" "F" 1 2
"243" 628.004 1 "e" "E" 1 2
"244" 516.671 1 "f" "F" 1 2
"245" 586.932 1 "f" "F" 0 2
"246" 583.471 1 "e" "E" 1 2
"247" 564.894 1 "f" "F" 0 2
"248" 508.233 1 "e" "E" 0 2
"249" 499.972 1 "f" "F" 0 2
"250" 695.565 1 "e" "E" 1 2
"251" 580.447 1 "f" "F" 1 2
"252" 633.614 1 "e" "E" 0 2
"253" 497.244 1 "f" "F" 0 2
"254" 606.938 1 "e" "E" 1 2
"255" 724.837 1 "e" "E" 0 2
"256" 879.412 1 "f" "F" 1 2
"257" 491.171 1 "e" "E" 1 2
"258" 571.112 1 "f" "F" 0 2
"259" 488.039 1 "f" "F" 1 2
"260" 489.056 1 "f" "F" 0 2
"261" 655.152 1 "f" "F" 1 2
"262" 596.254 1 "f" "F" 1 2
"263" 410.646 1 "e" "E" 0 2
"264" 628.588 1 "e" "E" 0 2
"265" 533.338 1 "f" "F" 1 2
"266" 569.27 1 "e" "E" 1 2
"267" 597.396 1 "e" "E" 0 2
"268" 599.59 1 "f" "F" 0 2
"269" 614.228 1 "f" "F" 0 2
"270" 549.091 1 "e" "E" 0 2
"271" 571.902 1 "e" "E" 1 2
"272" 678.848 1 "e" "E" 1 2
"273" 650.941 1 "e" "E" 0 2
"274" 573.32 1 "f" "F" 0 2
"275" 455.479 1 "e" "E" 1 2
"276" 593.972 1 "e" "E" 0 2
