"rt" "correct" "key" "target" "valid" "participant"
"1" 626.642 1 "e" "E" 1 0
"2" 1038.63 0 "e" "F" 0 0
"3" 955.59 0 "e" "F" 0 0
"4" 700.037 1 "e" "E" 1 0
"5" 558.138 1 "f" "F" 1 0
"6" 650.609 1 "f" "F" 1 0
"7" 552.76 1 "e" "E" 1 0
"8" 435.859 1 "e" "E" 0 0
"9" 1072.955 1 "e" "E" 0 0
"10" 773.328 1 "e" "E" 0 0
"11" 685.196 1 "e" "E" 0 0
"12" 905.265 1 "e" "E" 1 0
"13" 1007.092 1 "f" "F" 0 0
"14" 843.858 0 "e" "F" 0 0
"15" 578.818 1 "f" "F" 1 0
"16" 642.445 1 "f" "F" 1 0
"17" 632.919 1 "e" "E" 1 0
"18" 706.043 0 "f" "E" 1 0
"19" 913.966 1 "f" "F" 0 0
"20" 625.497 1 "e" "E" 0 0
"21" 853.776 1 "e" "E" 0 0
"22" 594.053 1 "f" "F" 1 0
"23" 613.987 1 "e" "E" 1 0
"24" 496.429 1 "e" "E" 0 0
"25" 596.482 1 "f" "F" 1 0
"26" 666.729 1 "f" "F" 0 0
"27" 594.319 1 "f" "F" 0 0
"28" 674.273 1 "f" "F" 0 0
"29" 914.395 1 "f" "F" 1 0
"30" 691.753 1 "f" "F" 1 0
"31" 724.112 1 "e" "E" 0 0
"32" 883.013 1 "e" "E" 1 0
"33" 772.546 1 "f" "F" 0 0
"34" 634.963 1 "f" "F" 0 0
"35" 676.637 1 "e" "E" 1 0
"36" 517.087 1 "f" "F" 1 0
"37" 767.308 1 "e" "E" 0 0
"38" 713.467 1 "e" "E" 0 0
"39" 635.411 1 "f" "F" 1 0
"40" 706.208 1 "f" "F" 1 0
"41" 733.896 1 "e" "E" 1 0
"42" 822.622 1 "e" "E" 0 0
"43" 685.284 1 "f" "F" 1 0
"44" 639.496 1 "f" "F" 0 0
"45" 727.66 1 "e" "E" 0 0
"46" 602.968 1 "e" "E" 1 0
"47" 567.488 1 "e" "E" 1 0
"48" 769.866 1 "f" "F" 0 0
